Date,Speaker ID,Sex,Parliament,Party,Speech Count
2024-05-14,#JoanneSwinson,F,House of Commons,Liberal Democrat,2
2024-05-14,#MichaelWood,M,House of Commons,Conservative,1
2024-05-14,#RichardShannon,M,House of Commons,Democratic Unionist Party,1
2024-05-14,#MichaelBates,M,House of Commons,Conservative,5
2024-05-14,#RaymondCollins,M,House of Lords,Labour,1
2024-05-14,#MenziesCampbell,M,House of Commons,Liberal,1
2024-05-14,#HeleneHayman,F,House of Commons,Labour,1
2024-05-14,#DavidAlton,M,House of Commons,Liberal,1
2024-05-14,#AlistairBurt,M,House of Commons,Conservative,29
2024-05-14,#FabianHamilton,M,House of Commons,Labour,1
2024-05-14,#AndrewMitchell,M,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,1
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,1
2024-05-14,#StephenTwigg,M,House of Commons,Labour,1
2024-05-14,#JamesDuddridge,M,House of Commons,Conservative,1
2024-05-14,#JoanneSwinson,F,House of Commons,Liberal Democrat,1
2024-05-14,#JeremyLefroy,M,House of Commons,Conservative,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
2024-05-14,#NusratUlGhani,F,House of Commons,Conservative,1
2024-05-14,#RichardBurden,M,House of Commons,Labour,1
2024-05-14,#SimonHoare,M,House of Commons,Conservative,1
2024-05-14,#DianaJohnson,F,House of Commons,Labour,1
2024-05-14,#EdwardArgar,M,House of Commons,Conservative,1
2024-05-14,#GillianFurniss,F,House of Commons,Labour,1
2024-05-14,#RebeccaClarkPow,F,House of Commons,Conservative,1
2024-05-14,#GrahamJones,M,House of Commons,Labour,1
2024-05-14,#MichelleDonelan,F,House of Commons,Conservative,1
2024-05-14,#DavidEdwards,M,House of Commons,Plaid Cymru,1
2024-05-14,#RossThomson,M,House of Commons,Conservative,1
2024-05-14,#AlexanderSobel,M,House of Commons,Labour,1
2024-05-14,#RobertCourts,M,House of Commons,Conservative,1
2024-05-14,#RobertStewart,M,House of Commons,Conservative,1
2024-05-14,#JohnBercow,M,House of Commons,Conservative,2
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#WendyMorton,F,House of Commons,Conservative,1
2024-05-14,#JohnHowell,M,House of Commons,Conservative,1
2024-05-14,#HelenWhately,F,House of Commons,Conservative,1
2024-05-14,#JeremyQuin,M,House of Commons,Conservative,1
2024-05-14,#TariqAhmad,M,House of Lords,Conservative,11
2024-05-14,#RaymondCollins,M,House of Lords,Labour,1
2024-05-14,#LindsayGranshaw,F,House of Lords,Liberal Democrat,1
2024-05-14,#MarkSchreiber,M,House of Lords,Conservative,1
2024-05-14,#PeterHain,M,House of Commons,Labour,1
2024-05-14,#NicholasBaines,M,House of Lords,Bishops,1
2024-05-14,#DavidHannay,M,House of Lords,Crossbench,1
2024-05-14,#KishwerFalkner,F,House of Lords,Liberal Democrat,1
2024-05-14,#MaryGoudie,F,House of Lords,Labour,1
